VPN,BARCODE,MARIA TASH,DEPT,WCID,ITEM_DESC
EMNSPAD-WG,2201100612911,194515126703,6321,6321x506080xemnspadwg,Small Diamond Moon Stud
EMNSPAD-YG,2201100612928,194515126710,6321,6321x506080xemnspadyg,Small Diamond Moon Stud
EMNSPAD-RG,2201100612935,194515126697,6321,6321x506080xemnspadrg,Small Diamond Moon Stud
EMQ625D-WG,2201100612942,194515126734,6321,6321x506080xemq625dwg,6mm Marquise Dia Traditional Stud
EMQ625D-YG,2201100612959,194515126741,6321,6321x506080xemq625dyg,6mm Marquise Dia Traditional Stud
EMQ625D-RG,2201100612966,194515126727,6321,6321x506080xemq625drg,6mm Marquise Dia Traditional Stud
EPE625D-WG,2201100612973,194515127090,6321,6321x506080xepe625dwg,6mm Diamond Pear Traditional Stud
EPE625D-YG,2201100612980,194515127106,6321,6321x506080xepe625dyg,6mm Diamond Pear Traditional Stud
EPE625D-RG,2201100612997,194515127083,6321,6321x506080xepe625drg,6mm Diamond Pear Traditional Stud
ER1SP65YELLOW GOLD,2201100613017,194515127328,6321,6321x506080xer1sp65yg,6.5MM SINGLE SHORT SPIKE NON-ROTATING CL
ER1SP65ROSE GOLD,2201100613024,194515127304,6321,6321x506080xer1sp65rg,6.5MM SINGLE SHORT SPIKE NON-ROTATING CL
ER1SP65BKOP-WG,2201100613031,194515127359,6321,6321x506080xer1sp65bkopwg,"1/4"" Blk Opl Sngl Spk Non-Rotating Ring"
ER1SP65BKOP-YG,2201100613048,194515127366,6321,6321x506080xer1sp65bkopyg,"1/4"" Blk Opl Sngl Spk Non-Rotating Ring"
ER1SP65BKOP-RG,2201100613055,194515127342,6321,6321x506080xer1sp65bkoprg,"1/4"" Blk Opl Sngl Spk Non-Rotating Ring"
ER1SP65OP-WG,2201100613062,194515127434,6321,6321x506080xer1sp65opwg,"1/4"" Opal Single Spike Non-Rotating Ring"
ER1SP65OP-YG,2201100613079,194515127441,6321,6321x506080xer1sp65opyg,"1/4"" Opal Single Spike Non-Rotating Ring"
ER1SP65OP-RG,2201100613086,194515127427,6321,6321x506080xer1sp65oprg,"1/4"" Opal Single Spike Non-Rotating Ring"
ER1SP8WHITE GOLD,2201100613093,194515127519,6321,6321x506080xer1sp8wg,8MM SINGLE SHORT SPIKE NON-ROTATING CLIC
ER1SP8YELLOW GOLD,2201100613109,194515127526,6321,6321x506080xer1sp8yg,8MM SINGLE SHORT SPIKE NON-ROTATING CLIC
ER1SP8ROSE GOLD,2201100613116,194515127502,6321,6321x506080xer1sp8rg,8MM SINGLE SHORT SPIKE NON-ROTATING CLIC
ER1SP8BKOP-WG,2201100613123,194515127557,6321,6321x506080xer1sp8bkopwg,"5/16"" Blk Opl Sbgl Spk Non-Rotating Ring"
ER1SP8BKOP-YG,2201100613130,194515127564,6321,6321x506080xer1sp8bkopyg,"5/16"" Blk Opl Sbgl Spk Non-Rotating Ring"
ER1SP8BKOP-RG,2201100613147,194515127540,6321,6321x506080xer1sp8bkoprg,"5/16"" Blk Opl Sbgl Spk Non-Rotating Ring"
ER1SP8OP-WG,2201100613154,194515127632,6321,6321x506080xer1sp8opwg,"5/16"" Opl Sngl Spk Non-Rotating Ring"
ER1SP8OP-YG,2201100613161,194515127649,6321,6321x506080xer1sp8opyg,"5/16"" Opl Sngl Spk Non-Rotating Ring"
ER1SP8OP-RG,2201100613178,194515127625,6321,6321x506080xer1sp8oprg,"5/16"" Opl Sngl Spk Non-Rotating Ring"
ER1SP95-WG,2201100613185,194515127700,6321,6321x506080xer1sp95wg,"3/8"" Single Spike Non-Rotating Ring"
ER1SP95-YG,2201100613192,194515127717,6321,6321x506080xer1sp95yg,"3/8"" Single Spike Non-Rotating Ring"
ER1SP95-RG,2201100613208,194515127694,6321,6321x506080xer1sp95rg,"3/8"" Single Spike Non-Rotating Ring"
ER1SP95BKOP-WG,2201100613215,194515127748,6321,6321x506080xer1sp95bkopwg,"3/8"" Blk Opl Sngl Spk Non-Rotating Ring"
ER1SP95BKOP-YG,2201100613222,194515127755,6321,6321x506080xer1sp95bkopyg,"3/8"" Blk Opl Sngl Spk Non-Rotating Ring"
ER1SP95BKOP-RG,2201100613239,194515127731,6321,6321x506080xer1sp95bkoprg,"3/8"" Blk Opl Sngl Spk Non-Rotating Ring"
ER1SP95OP-WG,2201100613246,194515127823,6321,6321x506080xer1sp95opwg,"3/8"" Opal Single Spike Non-Rotating Ring"
ER1SP95OP-YG,2201100613253,194515127830,6321,6321x506080xer1sp95opyg,"3/8"" Opal Single Spike Non-Rotating Ring"
ER1SP95OP-RG,2201100613260,194515127816,6321,6321x506080xer1sp95oprg,"3/8"" Opal Single Spike Non-Rotating Ring"
ER3SP65-WG,2201100613277,194515127892,6321,6321x506080xer3sp65wg,"1/4"" Triple Spike Non-Rotating Ring"
ER3SP65-YG,2201100613284,194515127908,6321,6321x506080xer3sp65yg,"1/4"" Triple Spike Non-Rotating Ring"
ER3SP65-RG,2201100613291,194515127885,6321,6321x506080xer3sp65rg,"1/4"" Triple Spike Non-Rotating Ring"
ESC15BKD-WG,2201100613307,194515129452,6321,6321x506080xesc15bkdwg,1.5mm Black Diamond Scalloped Stud
ESC15BKD-YG,2201100613314,194515129469,6321,6321x506080xesc15bkdyg,1.5mm Black Diamond Scalloped Stud
ESC15BKD-RG,2201100613321,194515129445,6321,6321x506080xesc15bkdrg,1.5mm Black Diamond Scalloped Stud
ESC15D-WG,2201100613338,194515129483,6321,6321x506080xesc15dwg,1.5mm Scalloped Set Diamond Stud
ESC15D-YG,2201100613345,194515129490,6321,6321x506080xesc15dyg,1.5mm Scalloped Set Diamond Stud
