Plu,Sku,Name,Metal,Attribute 2,Post Sku,Metal,Gauge,Gauge,Leanne Notes,5mm,Default,Sku_5mm,6.5mm,Default,Sku_6.5mm,8mm,Default,Sku_8mm,9.5mm,Default,Sku_9.5mm
18611,X3CZ,3mm Cubic Zirconia Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18612,X3CZ,3mm Cubic Zirconia Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
29379,X3DTRBKD,Black Diamond Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
29380,X3DTRBKD,Black Diamond Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
29381,X3DTRBKD,Black Diamond Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
32177,X3DTRBKD,Black Diamond Trinity Threaded Stud,Black Gold,,XTHBF,Black Rhodium,19 gauge,19GA=0.9MM,,21302,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|5MM,21303,Yes,XTHBF|BLACK RHODIUM|19GA=0.9MM|6.5MM,21304,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|8MM,21305,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|9.5MM
18613,X3DTRD,Diamond Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18614,X3DTRD,Diamond Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18615,X3DTRD,Diamond Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18616,X3DTRDL,Large Diamond Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18617,X3DTRDL,Large Diamond Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18618,X3DTRDL,Large Diamond Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18667,X3IVD,Invisible Set Three Diamond Curve Threaded Stud,Rose Gold,,XTHBF6,Rose Gold,19 gauge,19GA=0.9MM,,21428,No,XTHBF6|ROSE GOLD|19GA=0.9MM|5MM,21429,Yes,XTHBF6|ROSE GOLD|19GA=0.9MM|6.5MM,21430,No,XTHBF6|ROSE GOLD|19GA=0.9MM|8MM,21431,No,XTHBF6|ROSE GOLD|19GA=0.9MM|9.5MM
18668,X3IVD,Invisible Set Three Diamond Curve Threaded Stud,White Gold,,XTHBF6,White Gold,19 gauge,19GA=0.9MM,,21440,No,XTHBF6|WHITE GOLD|19GA=0.9MM|5MM,21441,Yes,XTHBF6|WHITE GOLD|19GA=0.9MM|6.5MM,21442,No,XTHBF6|WHITE GOLD|19GA=0.9MM|8MM,21443,No,XTHBF6|WHITE GOLD|19GA=0.9MM|9.5MM
18669,X3IVD,Invisible Set Three Diamond Curve Threaded Stud,Yellow Gold,,XTHBF6,Yellow Gold,19 gauge,19GA=0.9MM,,21452,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|5MM,21453,Yes,XTHBF6|YELLOW GOLD|19GA=0.9MM|6.5MM,21454,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|8MM,21455,No,XTHBF6|YELLOW GOLD|19GA=0.9MM|9.5MM
18673,X3OP,3mm Opal Threaded Stud,Black Gold,,XTHBF,Black Rhodium,19 gauge,19GA=0.9MM,,21302,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|5MM,21303,Yes,XTHBF|BLACK RHODIUM|19GA=0.9MM|6.5MM,21304,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|8MM,21305,No,XTHBF|BLACK RHODIUM|19GA=0.9MM|9.5MM
18674,X3OP,3mm Opal Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18675,X3OP,3mm Opal Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18676,X3OP,3mm Opal Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18793,X3TQ,3mm Turquoise Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18794,X3TQ,3mm Turquoise Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18795,X3TQ,3mm Turquoise Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
32430,X3TQTRL,Large Three Turquoise Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
32431,X3TQTRL,Large Three Turquoise Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
32432,X3TQTRL,Large Three Turquoise Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18796,X432OP,Vertical Opal Cluster Tash,Black Gold,,,Black Rhodium,,,not a current product?,,No,,,Yes,,,No,,,No,
18797,X432OP,Vertical Opal Cluster Tash,Rose Gold,,,Rose Gold,,,not a current product?,,No,,,Yes,,,No,,,No,
18798,X432OP,Vertical Opal Cluster Tash,White Gold,,,White Gold,,,not a current product?,,No,,,Yes,,,No,,,No,
18799,X432OP,Vertical Opal Cluster Tash,Yellow Gold,,,Yellow Gold,,,not a current product?,,No,,,Yes,,,No,,,No,
18800,X4BTR,Four Ball Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18801,X4BTR,Four Ball Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18802,X4BTR,Four Ball Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
18803,X4BTRD,Diamond Four Ball Trinity Threaded Stud,Rose Gold,,XTHBF,Rose Gold,19 gauge,19GA=0.9MM,,21314,No,XTHBF|ROSE GOLD|19GA=0.9MM|5MM,21315,Yes,XTHBF|ROSE GOLD|19GA=0.9MM|6.5MM,21316,No,XTHBF|ROSE GOLD|19GA=0.9MM|8MM,21317,No,XTHBF|ROSE GOLD|19GA=0.9MM|9.5MM
18804,X4BTRD,Diamond Four Ball Trinity Threaded Stud,White Gold,,XTHBF,White Gold,19 gauge,19GA=0.9MM,,21326,No,XTHBF|WHITE GOLD|19GA=0.9MM|5MM,21327,Yes,XTHBF|WHITE GOLD|19GA=0.9MM|6.5MM,21328,No,XTHBF|WHITE GOLD|19GA=0.9MM|8MM,21329,No,XTHBF|WHITE GOLD|19GA=0.9MM|9.5MM
18805,X4BTRD,Diamond Four Ball Trinity Threaded Stud,Yellow Gold,,XTHBF,Yellow Gold,19 gauge,19GA=0.9MM,,21338,No,XTHBF|YELLOW GOLD|19GA=0.9MM|5MM,21339,Yes,XTHBF|YELLOW GOLD|19GA=0.9MM|6.5MM,21340,No,XTHBF|YELLOW GOLD|19GA=0.9MM|8MM,21341,No,XTHBF|YELLOW GOLD|19GA=0.9MM|9.5MM
