SKU,Product Name,4,542,424,13,14,15,16,18,17,19,575,576,54,55,50,407,540,520,51,49,53,532,547,417,419,418,420,437
ZDGTR65RB,Ruby and Diamond Trinity Dagger Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDGTR65OP,Opal and Diamond Trinity Dagger Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDGTR65D,Diamond Trinity Dagger Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDGTR65BKD,Black and White Diamond Trinity Dagger Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDG65D,Diamond Dagger Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDG65BKD,Black and White Diamond Dagger Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDG5D,Small Diamond Dagger Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZDELDPS,Pink Sapphire and Diamond Delia Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZDELD,Diamond Delia Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZDAL,Dala Dangle Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZD25,2.5mm Gold Disc Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZCOBRAD,Diamond Cobra Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZCLVD,Diamond Lucky Clover Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZCLV7DPS,7mm Diamond and Pink Sapphire Clover Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZCLV7DBS,7mm Diamond and Blue Sapphire Clover Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZCLV55DPS,5.5mm Pink Sapphire and Diamond Clover Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZCLV55DBS,5.5mm Blue Sapphire and Diamond Clover Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZCFL5D,Diamond 5 Flower Garland Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZC4CZ,4mm Cubic Zirconia Cup Set Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZC3STD,Diamond Star Garland Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZC3FLOP,Three Opal Flower Garland Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZC3FLD,Diamond Flower Garland Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZC3FLCZ,5.5mm Cubic Zirconia Flower Garland Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBYMQD,Diamond Marquise Butterfly Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBYMQCZ,Cubic Zirconia Marquise Butterfly Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBY4D,4mm Diamond Butterfly Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBRT3TQ,2.75mm Turqoiuse Thin Braid Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBRT3RB,2.75mm Ruby Thin Braid Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBRT3PS,2.75mm Pink Sapphire Thin Braid Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBRT3OP,2.75mm Opal Thin Braid Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBRT3CZ,2.75mm Cubic Zircoinia Thin Braid Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBRT3BS,2.75mm Blue Sapphire Thin Braid Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBRT2OP,2mm Opal Thin Braid Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBRT2CZ,2mm Cubic Zirconia Thin Braid Frontal',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBRKRB,2.75mm Ruby Broken Braid Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBRKPS,2.75mm Pink Sapphire Broken Braid Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBRKCZ,2.75mm Cubic Zirconia Broken Braid Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBRKBS,2.75mm Blue Sapphire Broken Braid Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBO9D,9mm Diamond Bone Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBO7D,7mm Diamond Bone Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBF,Ball Flower Frontal Only',,,,,,,,,,,,,,,,,P,,,,,,,P,,,,
ZBAT75RB,Small Bat with Ruby Eyes Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAT75D,Small Bat with Diamond Eyes Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAT75BKD,Small Bat with Black Diamond Eyes Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAT10RB,Large Bat with Ruby Eyes Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAT10D,Large Bat with Diamond Eyes Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAT10BKD,18K Large Bat with Black Diamond Eyes Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBARR7M,Matte Round 7mm Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBARR7DM,7mm Matte Round Bar with Diamond Ends Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBARR7,Frontal 7mm Polishd Round 7mm Bar Threaded',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBARR18M,18mm 14k Matte Round Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBARR18,18mm Polished Round Bar Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBARR11M,11mm Matte Round Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBARR11DM,11mm Matte Round Bar with Diamond Ends Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBARR11,11mm Polished Round Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR7PAD,7mm Square Diamond Bar Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR7MD3,7mm Matte Square Bar with 3 Side Diamonds Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR7M,7mm Matte Square Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR7,7mm Polished Square Bar Threaded Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR18PAD,18mm Square Diamond Pave Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR18MD3,18mm Matte Square Bar with 3 Diamond Ends Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR18M,18mm Matte Square Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR11PAD,11mm Square Diamond Pave Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR11MD3,11mm Matte Square Bar with 3 Diamond Ends Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR11M,11mm Matte Square Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAR11,11mm Polished Square Bar Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZBAD,Diamond Baguette Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZB4,4mm Gold Ball Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZB3,3mm Gold Ball Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZB25,2.5mm Gold Ball Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZB2,2mm Gold Ball Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZAR75D,7.5mm Diamond Arrow Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZAR55D,18k 5.5mm Diamond Arrow Side Frontal (For Nipple)',,,,,,,,,,,,,,,,P,,,,,,,,P,,,,
ZAR45D,18k 4.5mm Diamond Arrow Side Frontal (For Nipple)',,,,,,,,,,,,,,,,P,,,,,,,,P,,,,
ZAR10D,10mm Diamond Arrow Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZAJNDPE,Diamond and Pearl Ajna Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZAJN3B,Ajna Dangle Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
ZAJN,Plain Ajna Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
Z6OP,6mm Bezel Set Opal Frontal only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
Z5OP,5mm Bezel Set Opal Frontal only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
Z5IVD2,Invisible Set 5 Diamond Open Curve Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
Z5IVD,Invisibly Set 5 Diamond Closed Curve Frontal',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
Z4TQ,4mm Turquoise Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
Z4OP,4mm Bezel Set Opal Frontal Only',,,,,,,,,,,,,,,,,,,,,,,,P,,,,
